App,Package,Start Time,Duration,Filename
"Airbnb",com.airbnb.android,"Feb 20, 2018 @ 07:36:30 PM","40 sec",""

Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU Load [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU Load (Normalized) [%]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",
10142,400000,10143,0,10144,28,10144,1209600,10145,1209600,10148,27,10149,1209600,10149,1209600,
10243,310000,10243,0,10245,60,10245,1209600,10245,1209600,10252,61,10252,1209600,10252,1209600,
10343,310000,10344,0,10345,59,10346,1209600,10346,1209600,10352,59,10355,1209600,10356,1209600,
10444,310000,10445,0,10446,65,10447,1209600,10447,1209600,10453,65,10453,1209600,10454,1209600,
10545,310000,10546,0,10547,41,10548,1209600,10548,1209600,10556,38,10557,1209600,10557,1209600,
10645,310000,10646,0,10647,40,10648,1209600,10648,1209600,10658,42,10658,1209600,10659,1209600,
10747,310000,10748,0,10750,52,10751,998400,10751,998400,10759,48,10760,1209600,10760,1209600,
10847,310000,10848,37,10849,42,10850,1209600,10853,1209600,10859,41,10859,1209600,10860,1209600,
10948,310000,10949,37,10950,42,10951,1209600,10951,1209600,10958,41,10959,1209600,10959,1209600,
11050,200000,11051,37,11052,42,11052,1209600,11053,1209600,11066,40,11066,1209600,11067,1209600,
11151,200000,11151,37,11153,75,11153,1209600,11154,1209600,11166,75,11167,1209600,11167,1209600,
11251,200000,11252,37,11253,71,11253,1209600,11254,1209600,11266,71,11267,1209600,11267,1209600,
11354,200000,11356,37,11359,35,11359,998400,11359,998400,11368,33,11369,998400,11373,998400,
11454,200000,11455,37,11456,13,11457,998400,11457,998400,11464,11,11464,1152000,11465,1152000,
11557,200000,11559,37,11563,22,11564,998400,11565,998400,11575,23,11576,1094400,11577,1094400,
11657,200000,11658,37,11659,18,11659,1209600,11659,1209600,11670,12,11670,1209600,11671,1209600,
11760,200000,11761,37,11762,17,11765,998400,11765,998400,11776,15,11776,998400,11777,998400,
11860,200000,11861,40,11863,17,11863,1209600,11864,1209600,11870,16,11870,1209600,11871,1209600,
11962,200000,11964,40,11968,17,11969,800000,11970,800000,11986,13,11988,998400,11989,998400,
12063,200000,12066,40,12070,35,12071,800000,12072,800000,12087,31,12087,998400,12088,998400,
12164,200000,12165,40,12167,37,12168,998400,12169,998400,12185,29,12186,1094400,12187,1094400,
12263,200000,12264,40,12269,44,12270,1209600,12270,1209600,12275,36,12275,1209600,12276,1209600,
12364,200000,12365,40,12367,55,12367,1209600,12367,1209600,12374,57,12374,1209600,12375,1209600,
12465,200000,12466,40,12467,56,12468,1209600,12468,1209600,12479,56,12480,1209600,12480,1209600,
12565,200000,12566,40,12567,40,12567,1209600,12568,1209600,12577,40,12577,1209600,12578,1209600,
12666,200000,12667,40,12668,52,12669,1209600,12670,1209600,12687,53,12688,1209600,12688,1209600,
12767,200000,12767,40,12768,79,12769,1209600,12769,1209600,12775,78,12777,1209600,12778,1209600,
12867,200000,12868,45,12869,92,12870,1209600,12870,1209600,12881,92,12881,1209600,12882,1209600,
12968,400000,12969,45,12970,97,12971,1209600,12973,1209600,12987,97,12987,1209600,12987,1209600,
13069,400000,13070,45,13071,89,13072,1209600,13072,1209600,13082,90,13082,1209600,13083,1209600,
13170,400000,13170,45,13176,95,13176,1209600,13177,1209600,13195,95,13200,1209600,13201,1209600,
13271,310000,13272,45,13273,90,13273,1209600,13273,1209600,13283,88,13283,1209600,13284,1209600,
13372,200000,13372,45,13373,84,13374,1209600,13375,1209600,13397,87,13398,1209600,13398,1209600,
13473,200000,13473,45,13474,100,13475,1209600,13475,1209600,13487,100,13488,1209600,13488,1209600,
